Código;Atividade;Unidade;Horas;Max
1;Monitoria;Semestres;51;102
3;Bolsista/Voluntário em Projetos de Pesquisa;Semestres;51;153
3;Bolsista/Voluntário em Projetos de Extensão;Semestres;51;153
5;Bolsista/Voluntário em Projetos de Ensino;Semestres;51;153
4;Participação em Atividades de Extensão (como organizador, colaborador ou ministrante);Horas;34;153
6;Participação em Semana Acadêmica do Curso de Computação;Horas;34;68
7;Participação em Cursos e Escolas;Horas;51;102
8;Participação em Evento Científico Regional;Unidades;17;51
8;Participação em Evento Científico Nacional;Unidades;34;68
8;Participação em Evento Científico Internacional;Unidades;34;68
9;Publicação de Artigo Científico Regional;Unidades;34;68
9;Publicação de Artigo Científico Nacional;Unidades;51;102
9;Publicação de Artigo Científico Internacional;Unidades;68;136
11;Representação Estudantil;Semestres;51;102
12;Obtenção de Prêmios e Distinções;Unidades;68;136
13;Certificações Profissionais;Horas;51;102
